,collision_any,collision_any,collision_any,min_ttc,min_ttc,min_ttc,ttc_lt_2_ratio,ttc_lt_2_ratio,ttc_lt_2_ratio,ttc_lt_3_ratio,ttc_lt_3_ratio,ttc_lt_3_ratio,max_abs_accel,max_abs_accel,max_abs_accel,max_abs_jerk,max_abs_jerk,max_abs_jerk,max_abs_accel_f,max_abs_accel_f,max_abs_accel_f,max_abs_jerk_f,max_abs_jerk_f,max_abs_jerk_f,mean_speed_mps,mean_speed_mps,mean_speed_mps,speed_efficiency_ratio,speed_efficiency_ratio,speed_efficiency_ratio,velocity_tracking_error_mps,velocity_tracking_error_mps,velocity_tracking_error_mps,intervention_rate,intervention_rate,intervention_rate,mean_pct_speed_diff,mean_pct_speed_diff,mean_pct_speed_diff,throughput_mps,throughput_mps,throughput_mps
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
controller_label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
innov_010,0.04259259259259259,0.2020303355412425,1080,1.7638198605682143,1.0819745291957363,886,0.04099444444444444,0.0602519883548297,1080,0.09186296296296308,0.09078912473464013,1080,10.62046994949385,12.681187979321509,1080,211.12955242666348,347.19971324333795,1080,4.086373749285642,1.1515531432323765,1080,19.37902266342762,13.700374367198293,1080,6.562575786477501,2.4236120018030363,1080,0.3634657358664463,0.1342308185613988,1080,11.492979769078055,2.4236120018030434,1080,0.07490370370370376,0.08569388579278077,1080,3.333160831613352,3.8813369657623316,1080,6.547559989574512,2.421000307594697,1080
innov_015,0.03796296296296296,0.19119525152635605,1080,1.8025910179260185,1.1135310086812944,891,0.04059259259259261,0.059843638866861865,1080,0.08953333333333334,0.08927451805346996,1080,10.865271696465975,13.126806275677676,1080,216.4993656683649,356.1949790495841,1080,4.0911414223741565,1.1887414088239776,1080,20.161856084206107,14.5162160146275,1080,6.552526380633075,2.4223378564497406,1080,0.3629091533889089,0.13416025051106253,1080,11.50302917492249,2.4223378564497455,1080,0.0956574074074075,0.09638495012454178,1080,3.690632035589614,3.8760372065942623,1080,6.537507720137849,2.419763936387286,1080
innov_020,0.03611111111111111,0.18665304023701004,1080,1.8217931641820548,1.1123818141271167,894,0.03972222222222215,0.05962388032780538,1080,0.08768888888888889,0.08843421952612185,1080,10.577552791164802,11.985719798123583,1080,208.56541933489424,329.8932363842595,1080,4.059131915620292,1.1844502448603298,1080,20.05672589323328,14.434623220774839,1080,6.5492138639623985,2.418392056327996,1080,0.3627256909271488,0.13394171388893522,1080,11.506341691593159,2.4183920563280017,1080,0.10679814814814824,0.10520329406800144,1080,3.9433203904477665,3.8916697297597893,1080,6.534236406741518,2.415862623358725,1080
normal,0.21574074074074073,0.41152579786119087,1080,1.6743821351513595,1.0900268481169162,899,0.04850740740740733,0.061939684410376505,1080,0.10254074074074085,0.09617760547839756,1080,14.41724201817205,23.35821480858301,1080,299.0780113523565,613.2149618939814,1080,4.353421412907894,1.8539041519965846,1080,22.618327644428394,18.94601566994952,1080,6.647926619414349,2.43613235205595,1080,0.3681928589214102,0.13492425334463723,1080,11.407672911204973,2.43607724277637,1080,0.0,0.0,1080,0.8701370370370313,3.9484973628226507,1080,6.632836423374063,2.4335312252832217,1080
ttc_20,0.07777777777777778,0.2679456508228336,1080,1.7429313839243672,1.0664760622567833,898,0.04660555555555556,0.0647969950809205,1080,0.10387222222222221,0.09878007685543187,1080,11.433480838505876,20.677456611866592,1080,227.03059034476033,545.6016206734982,1080,4.134915959027829,1.7380258643514468,1080,19.09201367004969,13.575012469574718,1080,6.58527063920778,2.4333844726586444,1080,0.3647226815561233,0.13477206310109413,1080,11.470328891411524,2.433328167779037,1080,0.04660555555555556,0.0647969950809205,1080,1.956284773662543,4.137515967036704,1080,6.570316807349289,2.43078702921984,1080
ttc_25,0.06388888888888888,0.2446681978337227,1080,1.7706080026781794,1.0608886267252922,897,0.03981111111111112,0.05896274775220334,1080,0.10252962962962953,0.09832695479260838,1080,10.846681653765023,13.29208604584617,1080,208.79693000812082,357.5156370515106,1080,4.032919865369358,1.1042888097386732,1080,19.276414430237637,13.501619116079498,1080,6.569202502690938,2.4302072681453804,1080,0.36383275399518955,0.13459609485112875,1080,11.486369658056866,2.4301553154044564,1080,0.07294074074074071,0.07956412891042493,1080,2.5957423868312723,4.218178808788944,1080,6.554331544539734,2.4276034602271057,1080
ttc_30,0.04722222222222222,0.21221211577611424,1080,1.8459562101990914,1.0865179467847146,898,0.03652037037037036,0.05750202923325755,1080,0.09761666666666675,0.09654524118734258,1080,10.952390600747169,12.346073220135963,1080,209.601391510202,335.0201489377433,1080,3.936640734359454,1.0467406493556757,1080,20.487740639899563,14.74618129146378,1080,6.555286354181318,2.431275767351986,1080,0.36306201346234995,0.13465527326872542,1080,11.500285806566499,2.4312237423087857,1080,0.09761666666666675,0.09654524118734258,1080,3.446222222222218,4.394166308790339,1080,6.540461349725688,2.428671504654554,1080
ttc_35,0.041666666666666664,0.1999188899477085,1080,1.8915468580260004,1.104553293515415,898,0.03577407407407406,0.05670979465734225,1080,0.08027407407407416,0.0845113023029235,1080,10.727156732969544,13.94882746822607,1080,206.76487837478655,374.56676313940864,1080,3.86985270502628,1.171475785985553,1080,20.133914231792748,14.36663404545275,1080,6.541677868769028,2.428927494327337,1080,0.3623083127318229,0.13452521507043713,1080,11.513916077947819,2.428854749771784,1080,0.11763888888888885,0.11100150357866939,1080,4.025106790123449,4.575773455752,1080,6.527042678924538,2.4264957747632203,1080
