seed,feature_perturbed,perturbation_direction,w_original,w_perturbed,B_orig_tau0.10,B_pert_tau0.10,delta_B_tau0.10,abs_delta_B_tau0.10,B_orig_tau0.15,B_pert_tau0.15,delta_B_tau0.15,abs_delta_B_tau0.15,B_orig_tau0.20,B_pert_tau0.20,delta_B_tau0.20,abs_delta_B_tau0.20
seed_1000,speed,plus20pct,0.08,0.10041841004184102,0.5032603675254633,0.5311106809243339,0.027850313398870563,0.027850313398870563,0.48836253523983825,0.5144663203409501,0.02610378510111183,0.02610378510111183,0.4717625146876426,0.49683100755770343,0.025068492870060854,0.025068492870060854
seed_1000,speed,minus20pct,0.08,0.06926406926406926,0.5032603675254633,0.5401708207573976,0.036910453231934315,0.036910453231934315,0.48836253523983825,0.5240259063209668,0.03566337108112855,0.03566337108112855,0.4717625146876426,0.5083691791827192,0.0366066644950766,0.0366066644950766
seed_1000,accel,plus20pct,0.1,0.125,0.5032603675254633,0.5320873896198589,0.028827022094395582,0.028827022094395582,0.48836253523983825,0.5132938174260928,0.024931282186254566,0.024931282186254566,0.4717625146876426,0.49716331956167203,0.02540080487402946,0.02540080487402946
seed_1000,accel,minus20pct,0.1,0.08695652173913046,0.5032603675254633,0.5386082716424209,0.03534790411695754,0.03534790411695754,0.48836253523983825,0.5232386375719219,0.03487610233208366,0.03487610233208366,0.4717625146876426,0.5076792526958994,0.03591673800825684,0.03591673800825684
seed_1000,jerk,plus20pct,0.1,0.125,0.5032603675254633,0.5395051107269662,0.03624474320150284,0.03624474320150284,0.48836253523983825,0.5223033785000886,0.03394084326025032,0.03394084326025032,0.4717625146876426,0.5090208373693415,0.037258322681698874,0.037258322681698874
seed_1000,jerk,minus20pct,0.1,0.08695652173913046,0.5032603675254633,0.5295840927275736,0.026323725202110237,0.026323725202110237,0.48836253523983825,0.5141621883812648,0.02579965314142657,0.02579965314142657,0.4717625146876426,0.49553680434269276,0.023774289655050185,0.023774289655050185
seed_1000,ttc,plus20pct,0.25,0.30303030303030304,0.5032603675254633,0.5497204234608221,0.046460055935358735,0.046460055935358735,0.48836253523983825,0.5356174381159335,0.047254902876095295,0.047254902876095295,0.4717625146876426,0.5178283646971373,0.04606585000949476,0.04606585000949476
seed_1000,ttc,minus20pct,0.25,0.22471910112359555,0.5032603675254633,0.5199003726110795,0.01664000508561614,0.01664000508561614,0.48836253523983825,0.5001583694616317,0.011795834221793478,0.011795834221793478,0.4717625146876426,0.48567968070988454,0.013917166022241967,0.013917166022241967
seed_1000,headway,plus20pct,0.15,0.18556701030927836,0.5032603675254633,0.5436231959319859,0.04036282840652261,0.04036282840652261,0.48836253523983825,0.5290934551248891,0.0407309198850509,0.0407309198850509,0.4717625146876426,0.5131552630300312,0.04139274834238865,0.04139274834238865
seed_1000,headway,minus20pct,0.15,0.13186813186813187,0.5032603675254633,0.5242534460965163,0.020993078571052926,0.020993078571052926,0.48836253523983825,0.507812538503991,0.01945000326415275,0.01945000326415275,0.4717625146876426,0.4930251020006225,0.02126258731297992,0.02126258731297992
